"das Abendessen, -","vecera"
"alle","vsetci"
"alles klar","v poriadku"
"alt","stary"
"am häufigsten","najcastejsie"
"am liebsten","najradsej"
"am Wochenende","cez vikend"
"der Anfang, Pl. Anfänge","zaciatok"
"angenehm","prijemny"
"aus (predlo¿ka s 3. pádom)","z, zo"
"der Ausflug, PI. Ausflüge","vylet"
"beachten","dbat' na nieco"
"bei (predlozka s 3. pádom)","pri"
"der Berg, -e","hora"
"die Brille, -n","okuliare"
"der Brimsen","bryndza"
"die Burg, -en","hrad"
"das Büro, -S","kancelária"
"das Café, -s","kaviaren"
"Das ist schade.","To je skoda."
"doch","predsa"
"das Dorf, Pl. Dörfer","dedina"
"dort","tam"
"durch (predlozka so 4. pádom)","cez"
"eigentlich","vlastne"
"einer der vielen","jeden z mnohych"
"einladen (Ich lade dich zur Party ein.)","pozvat (Pozyvam ta na  párty.)"
"einmal im Jahr","raz do roka"
"die Eltern (PL.)","rodicia"
"endlich","konecne"
"entspannen","oddychovat"
"der Erfolg, -e","úspech"
"freuen - sich freuen (ich freue mich, du freust dich, er/sie/es freut sich)","tesit sa"
"frisch","cerstvy"
"für (predlozka so 4. pádom)","pre"
"gar nicht","vôbec nie"
"die Geburtstagsparty,-s","narodeninová párty"
"gegen (predlozka so 4. pádom)","proti, okolo"
"gemeinsam","spolocne"
"gern","rad"
"das Geschenk, -e","darcek"
"die Gesundheit, -","zdravie"
"die Halbpension, -","polpenzia"
"das Highlight","turisticky vrchol"
"hoffentlich","snad'"
"das Hotel, -s","hotel"
"die Hütte, -n","chata"
"die Idee, -n","nápad"
"Ich würde sagen...","Povedal by som."
"in zwei Wochen","o dva tyzdne"
"die Kantine, -n","jedálen"
"kennenlernen (Ich lerne die Stadt kennen.)","spoznat nieco (Spoznávam mesto.)"
"das Land, Pl. Länder","krajina"
"lieber","radsej"
"manche von uns","niektori z nás"
"manchmal","niekedy"
"das Meer, -e","more"
"mit (predlozka s 3. pádom)","s, so"
"mit dem Bus","autobusom"
"mit dem Flugzeug","lietadlom"
"mit dem Zug","vlakom"
"mitbringen (ich bringe etw. mit)","piniest nieco so sebou"
"das Mittagessen, -","obed"
"der Mittelpunkt Europas","stred Európy"
"der Mittelpunkt, -e","stred"
"nach (predlozka s 3. pádom)","po, do"
"natürlich","samozrejme"
"neugierig","zvedavy"
"nie","nikdy"
"Norwegen","Nórsko"
"oft","casto"
"ohne (predlozka so 4. pádom)","bez"
"ohnehin","tak ci tak"
"die Orientierung, -en","orientácie"
"der Ort, -e","miesto"
"das Papier, -e","papier"
"die Pension, -en","penzión"
"planen","plánovat"
"präsentieren","prezentovat"
"das Projekt, -e","projekt"
"das Rathaus, Pl. Rathäuser","radnica"
"regelmäßig","pravidelne"
"die Reise, -n","cesta"
"der Reiseführer, -","sprievodca"
"das Reisen, -","cestovanie"
"der Reisepass, PI. Reisepässe","cestovny pas"
"die Route, -n","trasa"
"die Rückfahrt, -en","cesta spät"
"die Rundfahrt, -en","okruzná cesta"
"die Sehenswürdigkeit,-en","pamätihodnost"
"sehr gern","velmi rád"
"sehr oft","velmi casto"
"selten","zriedka"
"schade","skoda"
"das Schloss, Pl. Schlösser","zámok"
"schrecklich","otrasny"
"Ski fahren","lyzovat"
"die Slowakei","Slovensko"
"sonst","inác"
"die Stadt, Pl. Städte","mesto"
"die Strecke, -n","trasa"
"die Studienreise, -n","poznávacia cesta"
"der Tunnel, o","tunel"
"über den Sommer/im Sommer","cez leto"
"über den Winter/im Winter","cez zimu"
"über die Ferien/in den Ferien","cez prázdniny"
"um (predlozka so 4. pádom)","o, okolo"
"unter der Woche","cez tyzden"
"die Unterbringung,-en","ubytovanie"
"Urlaub nehmen","zobrat si dovolenku"
"der Urlaub, -e","dovolenka"
"der Urlaubsplan, Pl. Urlaubspläne","dovolenkové plány"
"der USB-Stick, -s","USB klúc"
"verbringen","strávit (napr. dovolenku)"
"das Verkehrsmittel, -","dopravny prostriedok"
"die Verpflegung,-en","stravovanie"
"viel","vela"
"die Vollpension, o","plná penzia"
"von (predlozka s 3. pádom)","z, zo, od"
"vorbereiten (POZOR: odlúcitelná predpona - ich bereite vor)","pripravit (napr. projekt)"
"der Vorschlag, Pl. Vorschläge","návrh"
"vorschlagen (Ich habe vorgeschlagen.)","navrhnut (Navrhol som.)"
"predpis","die Vorschrift, -en"
"die Wanderung (Wanderungen machen)","turistika (chodit na turistiku)"
"weg","prec"
"der Weg, -e","cesta"
"das Wetter, o","pocasie"
"die Woche, -n","tyzden"
"wunderbar","vyborny"
"wünschen","zelat, priat"
"die Zeit, a","cas"
"die Zeitschrift,-en","casopis"
"zu (predlozka s 3. pádom)","k, ku"
"zubereiten (Ich bereite das Essen zu.)","pripravit (Prípravim jedlo.)"
"der Zug, Pl. Züge","vlak"
"zweimal im Jahr","dvakrát do roka"
