"als","ked (jednorazovy dej v minulosti)"
"am Wochenende","cez víkend"
"anstrengend","namáhavy"
"ausborgen (sich) (ich borge mir aus, du borgst dir aus, er/sie/es borgt sich aus)","pozicat si nieco"
"der Ausflug, Pl. Ausflüge","vylet"
"die Ballsportart, -en","loptovy sport"
"der Basketball, Pl. -bälle (Basketball spielen)","basketbal"
"das Bauernhaus, Pl. - häuser","gazdovsky dom"
"behalten","udrzat (si)"
"besichtigen","pozriet si"
"die Besonderheit, -en","zvlástnost"
"der Besuch, -e","návsteva"
"die Bewegung, -en","pohyb"
"brav","poslusny"
"cool","perfektny, úzasny"
"dazwischen kommen (etwas kommt dazwischen)","tu: niedo mi príde do toho"
"deshalb","preto"
"dunkel","tmavy"
"das Eis, O","zmrzlina"
"die Eltern (PI.)","rodicia"
"Federball spielen","hrat bedminton"
"fertig machen + akuzativ (ich muss etwas fertig machen)","dokoncit"
"die Figur, -en","postava"
"die Firma, Pl. Firmen","firma"
"das Fitnesscenter, -","fitnescentrum"
"das Freilichtmuseum, PI. - museen","skanzen"
"freinehmen (sich) (ich nehme mir frei, du nimmst dir frei, er/siel es nimmt sich freii)","zobrat si volno"
"die Freizeit, O","volny"
"das freuen (sich), (ich freue mich, du freust dich, er freut sich)","tesit sa"
"der Garten, Pl. Gärten","záhrada"
"gefallen (das gefällt mir)","pácit sa (páci sa mi to)"
"gelungen","vydareny"
"gemeinsam","spolocny"
"genießen","vychutnávat' si"
"gern","rád"
"das Hallenbad, Pl. Hallenbäder","krytá plaváren"
"Handball spielen","hrat hádzanú"
"die Heimat, 0","domov"
"das Hobby,-s","konícek"
"in der Freizeit","vo volnom case"
"in der Nacht","v noci"
"joggen","behat"
"die Jugendlichen (PI.)","mladistvi"
"klappen (es klappt)","podarit sa"
"krank","chory"
"leiten (z.B. eine Firma)","viest (napr. firmu)"
"die Luft, O","vzduch"
"manchmal","niekedy"
"meistens","väcsinou"
"miteinander","spolu"
"möglichst","podla moznosti"
"nachdenken, über + akuzativ (ich denke über die Arbeit nach)","premyslat o niecom"
"natürlich","prirodzene"
"oft","casto"
"pflegen","starat sa (o niekoho)"
"plaudern","rozprávat sa"
"Rad fahren","jazdit na bicykli"
"der Radweg,-e","cyklistická cesta"
"regelmäßig","pravidelne"
"die Rutsche, -n","smyklavka"
"das Schloss, Pl. Schlösser","zamok"
"das Segeln, 0","jachtanie"
"sehr oft","casto"
"seit","odkedy"
"Ski fahren","lyzovat"
"der Spaß, 0","zábava"
"spazieren gehen","ist na prechádzku"
"der Spaziergang, Pl. Spaziergänge","prechádzka"
"Sport machen","Sportovat"
"sportlich","sportovy"
"springen","skákat"
"der Tag, -e","den"
"täglich","denne"
"die Tochter, Pl. Töchter","dcéra"
"toll","vynikajúci"
"trauen (sich)","odvázit sa"
"unter der Woche","cez tyzden"
"unternehmen","podniknút (nieco)"
"unternehmen (wir unternehmen etwas)","podniknút nieco (podnikneme nieco)"
"unterstützen","podporovat (nieco/niekoho)"
"verbringen","strávit (napr. cas)"
"vereinbaren + akuzatív","dohodnút nieco"
"verlassen","opustit (nieco/niekoho)"
"versuchen","skusit"
"Volleyball spielen","hrat volejbal"
"das Volleyball, D","volejbal"
"der Vorschlag, PI. Vorschläge","nápad"
"wandern","robit turistiku"
"weil","pretoze"
"wenig","málo"
"wenn","ked"
"das Wetter, D","pocasie"
"wirklich","skutocne"
"das Wochenende,-n","víkend"
